Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price
Ford,Fiesta,1.0,Petrol,2002,127300,3074
Porsche,718 Cayman,4.0,Petrol,2016,57850,49704
Ford,Mondeo,1.6,Diesel,2014,39190,24072
Toyota,RAV4,1.8,Hybrid,1988,210814,1705
VW,Polo,1.0,Petrol,2006,127869,4101
Ford,Focus,1.4,Petrol,2018,33603,29204
Ford,Mondeo,1.8,Diesel,2010,86686,14350
Toyota,Prius,1.4,Hybrid,2015,30663,30297
VW,Polo,1.2,Petrol,2012,73470,9977
Ford,Focus,2.0,Diesel,1992,262514,1049
VW,Golf,2.0,Diesel,2014,83047,17173
BMW,Z4,2.0,Petrol,1990,293666,719
VW,Golf,1.2,Diesel,2007,92697,7792
Toyota,RAV4,2.2,Petrol,2007,79393,16026
Toyota,Yaris,1.4,Petrol,1998,97286,4046
VW,Golf,1.6,Diesel,1989,222390,933
Toyota,RAV4,2.4,Hybrid,2003,117425,11667
Toyota,Yaris,1.2,Petrol,1992,245990,720
Toyota,RAV4,2.0,Hybrid,2018,28381,52671
VW,Polo,1.2,Petrol,1998,155038,2118
VW,Golf,1.2,Hybrid,1987,121744,1890
Ford,Mondeo,1.6,Diesel,1996,77584,5667
Toyota,Prius,1.0,Hybrid,2003,115291,6512
Toyota,Prius,1.0,Hybrid,1990,238571,961
Porsche,911,2.6,Petrol,2009,66273,41963
Toyota,Prius,1.8,Hybrid,2017,31958,38961
Porsche,911,3.5,Petrol,2005,151556,19747
Toyota,Yaris,1.2,Petrol,2002,179097,2548
VW,Golf,2.0,Petrol,2020,18985,36387
Toyota,RAV4,1.8,Hybrid,2002,66990,13553
Ford,Focus,1.0,Hybrid,2010,85131,12472
Ford,Fiesta,1.0,Petrol,2001,144731,2503
VW,Polo,2.0,Diesel,2008,97001,8784
VW,Polo,1.6,Petrol,2016,52409,17257
Ford,Fiesta,1.4,Petrol,2010,112714,6936
VW,Passat,2.0,Diesel,1992,198540,1964
VW,Passat,1.8,Diesel,1989,213162,1340
BMW,Z4,2.2,Petrol,2005,133174,8511
VW,Polo,1.6,Petrol,2008,129588,5848
BMW,Z4,2.0,Petrol,1990,148586,2637
Ford,Focus,2.0,Petrol,1995,91173,5181
BMW,M5,4.0,Petrol,2017,22759,97758
VW,Polo,1.4,Petrol,1990,261526,522
VW,Passat,1.4,Diesel,1995,235594,1439
BMW,Z4,2.0,Petrol,1995,42759,7873
VW,Passat,1.8,Diesel,2005,103352,9633
VW,Passat,1.6,Petrol,2003,63372,10001
Toyota,Yaris,1.0,Petrol,2009,51787,9689
Ford,Fiesta,1.4,Petrol,2014,41495,14721
Toyota,Yaris,1.4,Petrol,2010,43111,12928
Ford,Fiesta,1.0,Diesel,2017,38370,16257
Toyota,RAV4,2.4,Petrol,2018,24588,49125
VW,Polo,1.0,Diesel,2000,207339,1480
Ford,Fiesta,1.0,Petrol,1990,182958,873
VW,Passat,1.6,Diesel,1994,114647,4008
VW,Polo,1.0,Petrol,1995,162993,1482
VW,Golf,1.2,Petrol,2002,139884,3713
Porsche,Cayenne,2.6,Diesel,2015,33693,54037
BMW,Z4,2.2,Petrol,2004,126777,8373
Ford,Fiesta,1.2,Petrol,2010,51553,9813
Toyota,Yaris,1.0,Petrol,2010,75821,8851
VW,Polo,1.4,Diesel,2010,45193,11881
VW,Polo,1.6,Petrol,1997,87723,3840
Ford,Focus,1.8,Petrol,1993,279656,863
VW,Golf,2.0,Hybrid,2018,25017,36957
Ford,Fiesta,1.2,Petrol,1996,111771,2543
Toyota,Prius,1.4,Hybrid,2016,43893,29946
Toyota,Yaris,1.0,Petrol,2007,118788,5306
Toyota,Prius,1.4,Hybrid,2016,43130,30085
VW,Passat,1.6,Diesel,1991,247911,1052
Ford,Focus,2.0,Petrol,1991,272161,854
VW,Passat,1.6,Diesel,1994,179361,2371
Ford,Fiesta,1.0,Petrol,2009,66424,7616
Ford,Mondeo,1.8,Diesel,1999,104544,6058
Toyota,Yaris,1.0,Hybrid,1999,80589,4937
Ford,Mondeo,1.4,Diesel,2000,128137,4771
Porsche,718 Cayman,2.0,Petrol,1992,169078,3074
VW,Passat,1.6,Petrol,2016,64344,23641
VW,Passat,1.6,Diesel,1993,176456,2274
Ford,Focus,1.4,Petrol,1985,179526,1105
Toyota,RAV4,1.8,Hybrid,1999,162425,5396
Porsche,718 Cayman,2.4,Petrol,2021,14070,69526
BMW,Z4,2.4,Petrol,1993,226492,1799
Ford,Fiesta,1.2,Petrol,1995,183332,1330
VW,Golf,2.0,Petrol,1990,118673,2543
Toyota,Prius,1.0,Hybrid,1993,333629,478
VW,Passat,1.8,Diesel,1991,155034,2526
Toyota,Yaris,1.2,Petrol,1990,200892,947
Ford,Focus,1.8,Petrol,2020,22371,40336
Ford,Mondeo,1.6,Diesel,2015,21834,28435
Ford,Focus,1.0,Petrol,1985,223615,633
Ford,Mondeo,1.6,Diesel,2007,100798,10008
BMW,Z4,2.4,Petrol,1997,103758,6532
Ford,Fiesta,1.2,Petrol,1997,156919,1901
Toyota,Yaris,1.0,Petrol,2008,42621,9591
VW,Passat,1.4,Diesel,2010,64359,15563
Ford,Focus,2.0,Petrol,2002,180048,4086
Ford,Mondeo,1.6,Hybrid,2005,142689,7247
VW,Passat,1.6,Diesel,2018,22122,36634
BMW,M5,4.4,Petrol,1987,226046,2956
Ford,Focus,1.4,Petrol,1987,236315,763
BMW,M5,4.4,Petrol,2008,109941,31711
Ford,Fiesta,1.0,Petrol,2009,61615,7859
Ford,Focus,1.8,Diesel,1989,297635,585
Toyota,Prius,1.8,Hybrid,1995,112413,5238
Ford,Fiesta,1.2,Petrol,2008,96911,6318
VW,Passat,1.6,Diesel,1990,223561,1229
